Object 1 Volume,Object 1 Grasping Length,"Object 1 Shape (Cuboid, Sphere, Cylinder)",Object 2 Volume,Object 2 Grasping Length,"Object 2 Shape (Cuboid, Sphere, Cylinder)",Remaining Workspace Volume after first grasp,Remaining Workspace Volume after both grasps
1.27423e-05,0.024,"[0, 0, 1]",1.41372e-05,0.0,"[0, 1, 0]",0.0067037741040572,0.0031333734952219
0.00025392,0.12,"[1, 0, 0]",5.6297e-06,0.028,"[0, 0, 1]",0.0065886166031545,0.0030569511253523
0.000132848,0.092,"[1, 0, 0]",6.9984e-05,0.024,"[1, 0, 0]",0.0066283254105398,0.0031020694998754
1.1494e-05,0.0,"[0, 1, 0]",5.0965e-05,0.0,"[0, 1, 0]",0.0066989635859401,0.0031333060674075
4.46022e-05,0.0,"[0, 1, 0]",3.1104e-05,0.024,"[1, 0, 0]",0.0066749541824314,0.0031312282487902
6e-05,0.024,"[1, 0, 0]",2.87309e-05,0.0,"[0, 1, 0]",0.0066639289802286,0.0031333670937529
1.2288e-05,0.012,"[1, 0, 0]",0.0001130973,0.0,"[0, 1, 0]",0.0067022394526044,0.0031333695176723
2.7104e-05,0.014,"[1, 0, 0]",3.68e-05,0.092,"[1, 0, 0]",0.006692891837058,0.0031333201524658
0.000275857,0.112,"[0, 0, 1]",7.7824e-05,0.076,"[1, 0, 0]",0.0066100416145962,0.0031142741799768
0.0003166725,0.112,"[0, 0, 1]",6.54498e-05,0.0,"[0, 1, 0]",0.0065904156885864,0.00310776037666
2.01753e-05,0.038,"[0, 0, 1]",2.87309e-05,0.0,"[0, 1, 0]",0.0067005927185157,0.0031333273940632
2.9624e-05,0.014,"[1, 0, 0]",0.000169128,0.058,"[1, 0, 0]",0.0066927354648079,0.0031334347146464
3.35103e-05,0.0,"[0, 1, 0]",0.0001741448,0.082,"[0, 0, 1]",0.0066842403360291,0.0031323349203931
1.936e-05,0.01,"[1, 0, 0]",2.0384e-05,0.104,"[1, 0, 0]",0.0066993762073821,0.0031333111236822
2.916e-05,0.09,"[1, 0, 0]",0.000107648,0.032,"[1, 0, 0]",0.0066946131277268,0.0031290979067649
3.89055e-05,0.086,"[0, 0, 1]",5.096e-06,0.026,"[1, 0, 0]",0.0066943611074622,0.0031331115565793
4.46022e-05,0.0,"[0, 1, 0]",3.1768e-05,0.022,"[1, 0, 0]",0.0066748815260283,0.0031310426383609
7.5776e-05,0.074,"[1, 0, 0]",4.4616e-05,0.066,"[1, 0, 0]",0.0066581884114435,0.0031153631640226
0.0001130973,0.0,"[0, 1, 0]",1.66253e-05,0.108,"[0, 0, 1]",0.0066249317426142,0.0031205364643864
9.2028e-06,0.0,"[0, 1, 0]",1.22145e-05,0.012,"[0, 0, 1]",0.0067005390770075,0.0031332674178361
0.000188384,0.056,"[1, 0, 0]",0.0001062,0.118,"[1, 0, 0]",0.0065585947638814,0.003102711858243
1.76934e-05,0.022,"[0, 0, 1]",5.236e-07,0.0,"[0, 1, 0]",0.006703094263886,0.0031331440566667
2.4429e-05,0.0,"[0, 1, 0]",2.70931e-05,0.044,"[0, 0, 1]",0.0066907413802804,0.0031329799042426
0.000147744,0.114,"[1, 0, 0]",0.00018928,0.07,"[1, 0, 0]",0.0066132533796619,0.0030952471019543
9.2028e-06,0.0,"[0, 1, 0]",1.68e-05,0.042,"[1, 0, 0]",0.0067003765625903,0.0031332489153474
2.1447e-06,0.0,"[0, 1, 0]",3.87924e-05,0.0,"[0, 1, 0]",0.0067050786778548,0.0031330911375438
1.00531e-05,0.05,"[0, 0, 1]",2.8072e-05,0.058,"[1, 0, 0]",0.0067041094023349,0.0031332474063001
4.3776e-05,0.076,"[1, 0, 0]",5.3219e-06,0.014,"[0, 0, 1]",0.0066717440225202,0.003125053876163
3.76e-05,0.094,"[1, 0, 0]",0.000162624,0.084,"[1, 0, 0]",0.0066936186997955,0.0031245182793971
9.19523e-05,0.0,"[0, 1, 0]",9.04779e-05,0.05,"[0, 0, 1]",0.0066395053874832,0.0031246151768729
0.0001021604,0.0,"[0, 1, 0]",9.5442e-06,0.062,"[0, 0, 1]",0.0066332677796695,0.003123124142537
1.01788e-05,0.09,"[0, 0, 1]",9.19523e-05,0.0,"[0, 1, 0]",0.006705348215133,0.0031333027428038
7.36222e-05,0.0,"[0, 1, 0]",2.81298e-05,0.074,"[0, 0, 1]",0.0066529194341562,0.0031274880136013
9.2028e-06,0.0,"[0, 1, 0]",0.0002099087,0.116,"[0, 0, 1]",0.0067006483906435,0.0031333636920591
3.0536e-06,0.0,"[0, 1, 0]",4.3103e-06,0.028,"[0, 0, 1]",0.0067044448709758,0.0031332483360471
0.0002216708,0.09,"[0, 0, 1]",1.4368e-06,0.0,"[0, 1, 0]",0.006626568110995,0.0031188867514515
3.2448e-05,0.012,"[1, 0, 0]",1.41372e-05,0.0,"[0, 1, 0]",0.0066948019634326,0.0031332985403302
0.0002800604,0.106,"[0, 0, 1]",1.0405e-05,0.092,"[0, 0, 1]",0.006602101190703,0.0031127899290067
6.84e-05,0.076,"[1, 0, 0]",0.00012696,0.06,"[1, 0, 0]",0.0066711720583973,0.0031185617997397
1.4504e-05,0.074,"[1, 0, 0]",3.70959e-05,0.082,"[0, 0, 1]",0.0066952220535193,0.0031311428471761
5.0965e-05,0.0,"[0, 1, 0]",1.8473e-06,0.012,"[0, 0, 1]",0.0066713454077886,0.0031306600337969
5.0965e-05,0.0,"[0, 1, 0]",5.79058e-05,0.0,"[0, 1, 0]",0.0066717374164235,0.0031302979735658
3.20442e-05,0.102,"[0, 0, 1]",5.9488e-05,0.022,"[1, 0, 0]",0.006698450149492,0.0031332801467946
1.47592e-05,0.058,"[0, 0, 1]",1.13097e-05,0.1,"[0, 0, 1]",0.0067029469645273,0.0031333989438566
4.46022e-05,0.0,"[0, 1, 0]",8.3692e-06,0.074,"[0, 0, 1]",0.0066755035863231,0.0031312924703593
3.35103e-05,0.0,"[0, 1, 0]",0.000160704,0.124,"[1, 0, 0]",0.006683609708808,0.0031323181039652
1.84e-05,0.046,"[1, 0, 0]",3.0536e-06,0.0,"[0, 1, 0]",0.0066988031696296,0.0031310146982201
2e-05,0.05,"[1, 0, 0]",9.0792e-05,0.1,"[0, 0, 1]",0.0066993724503526,0.0031303456733913
7.2382e-06,0.0,"[0, 1, 0]",0.000103038,0.062,"[0, 0, 1]",0.0067029994492997,0.0031332572156944
0.0002694921,0.102,"[0, 0, 1]",9.048e-07,0.0,"[0, 1, 0]",0.006601811100929,0.0031137739387787
2.87309e-05,0.0,"[0, 1, 0]",4.356e-05,0.09,"[1, 0, 0]",0.0066873190005172,0.0031325471397497
7.36222e-05,0.0,"[0, 1, 0]",2.05795e-05,0.0,"[0, 1, 0]",0.0066524743413969,0.003127781541768
4.608e-05,0.02,"[1, 0, 0]",2.1632e-05,0.032,"[1, 0, 0]",0.0066736417435771,0.0031330978414637
4.76328e-05,0.042,"[0, 0, 1]",2.4429e-05,0.0,"[0, 1, 0]",0.0066933914391122,0.0031320785338932
6.8992e-05,0.088,"[1, 0, 0]",1.1494e-05,0.0,"[0, 1, 0]",0.0066682007628133,0.003117487582796
7.2382e-06,0.0,"[0, 1, 0]",4.96e-05,0.124,"[1, 0, 0]",0.0067026326946623,0.0031333420942958
2.87309e-05,0.0,"[0, 1, 0]",4.232e-05,0.02,"[1, 0, 0]",0.0066874032547788,0.0031326571285299
1.3824e-05,0.054,"[1, 0, 0]",8.112e-06,0.012,"[1, 0, 0]",0.0066981941414785,0.0031322066462399
2.1447e-06,0.0,"[0, 1, 0]",0.000255664,0.076,"[1, 0, 0]",0.0067051877219366,0.0031334209109669
0.000326592,0.112,"[1, 0, 0]",0.0001021604,0.0,"[0, 1, 0]",0.0065200263717695,0.0030358817673187
0.0001021604,0.0,"[0, 1, 0]",0.00023276,0.11,"[1, 0, 0]",0.0066318509203861,0.0031227220356015
2.87309e-05,0.0,"[0, 1, 0]",0.0001902297,0.072,"[0, 0, 1]",0.0066874066580591,0.003132702525582
9.2363e-06,0.06,"[0, 0, 1]",7.6176e-05,0.036,"[1, 0, 0]",0.0067043007843435,0.0031332123143176
8.07012e-05,0.038,"[0, 0, 1]",0.0001021604,0.0,"[0, 1, 0]",0.0066817094560773,0.0031295417000253
5.9392e-05,0.058,"[1, 0, 0]",3.0536e-06,0.0,"[0, 1, 0]",0.0066689497352506,0.0031231008810959
3.0536e-06,0.0,"[0, 1, 0]",6.5536e-05,0.064,"[1, 0, 0]",0.0067052466894923,0.0031331330257123
0.0001302881,0.072,"[0, 0, 1]",0.00018816,0.06,"[1, 0, 0]",0.0066585679895514,0.0031273963427269
0.000281088,0.122,"[1, 0, 0]",1.44765e-05,0.018,"[0, 0, 1]",0.0065092092534199,0.0030526161046024
4.43342e-05,0.098,"[0, 0, 1]",9.048e-07,0.0,"[0, 1, 0]",0.0066913461109759,0.0031330959128492
0.0003456,0.096,"[1, 0, 0]",4.46022e-05,0.0,"[0, 1, 0]",0.0064687433429508,0.0030517388294928
7.07738e-05,0.088,"[0, 0, 1]",3.468e-05,0.03,"[1, 0, 0]",0.0066839325175592,0.0031329100058777
9.8496e-05,0.076,"[1, 0, 0]",2.05795e-05,0.0,"[0, 1, 0]",0.0066350322244175,0.0031129383912783
0.00028224,0.09,"[1, 0, 0]",5.808e-06,0.012,"[1, 0, 0]",0.0065517136029157,0.0030582974433821
2.07345e-05,0.066,"[0, 0, 1]",5.79058e-05,0.0,"[0, 1, 0]",0.0067009373553879,0.0031333388872802
4.50379e-05,0.056,"[0, 0, 1]",1.3824e-05,0.054,"[1, 0, 0]",0.0066928985216748,0.0031330408842053
9.75339e-05,0.086,"[0, 0, 1]",5.8119e-06,0.074,"[0, 0, 1]",0.0066698330602133,0.0031314224369809
2.1447e-06,0.0,"[0, 1, 0]",3.5e-05,0.014,"[1, 0, 0]",0.0067052018696472,0.0031332721619703
